"ID","PID","Yig","Cig","Z","X0","time1","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","delta","wt"
137,20,0,0.622580531995887,1,1,12.0467416765717,11.73239138283,11.382298608958,11.0379288599671,10.5455061038064,9.84296210251135,9.01270667909285,8.16388119297757,7.174852835364,6.01937753857838,4.06829991264517,1,1
138,20,1,0.159244313666207,1,1,12.3652303039041,12.0508800101624,11.7007872362904,11.3564174872995,10.8639947311388,10.1614507298438,9.33119530642527,8.48236982030998,7.49334146269641,6.33786616591079,4.38678853997758,1,1
139,21,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
140,21,0,0.916394599480554,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,1,1
141,21,1,0.453058381150875,1,1,1.83278919896111,1.51843890521942,1.16834613134746,0.823976382356534,0.33155362619583,0,0,0,0,0,0,1,1
142,23,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
143,23,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,1,1
144,23,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,1,1
145,23,0,0.926672436659358,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,1,1
146,23,0,0.926672436659358,1,1,3.70668974663743,3.39233945289574,3.04224667902378,2.69787693003286,2.20545417387215,1.50291017257713,0.672654749158629,0,0,0,0,1,1
147,23,0,0.926672436659358,1,1,4.63336218329679,4.3190118895551,3.96891911568314,3.62454936669222,3.13212661053151,2.42958260923649,1.59932718581799,0.750501699702703,0,0,0,1,1
148,23,0,0.926672436659358,1,1,5.56003461995615,5.24568432621446,4.8955915523425,4.55122180335157,4.05879904719087,3.35625504589584,2.52599962247734,1.67717413636206,0.688145778748492,0,0,1,1
149,23,0,0.478105973657036,1,1,6.48670705661551,6.17235676287382,5.82226398900186,5.47789424001093,4.98547148385023,4.2829274825552,3.4526720591367,2.60384657302142,1.61481821540785,0.45934291862223,0,1,1
150,23,1,0.0147697553273569,1,1,6.51624656727022,6.20189627352853,5.85180349965657,5.50743375066565,5.01501099450494,4.31246699320991,3.48221156979142,2.63338608367613,1.64435772606256,0.488882429276944,0,1,1
151,25,0,0.463336218329679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
152,25,0,0.926672436659358,1,1,0.926672436659358,0.612322142917669,0.262229369045708,0,0,0,0,0,0,0,0,0,1
153,25,0,0.926672436659358,1,1,1.85334487331872,1.53899457957703,1.18890180570507,0.844532056714142,0.352109300553438,0,0,0,0,0,0,0,1
154,25,0,0.926672436659358,1,1,2.78001730997807,2.46566701623638,2.11557424236442,1.7712044933735,1.2787817372128,0.576237735917769,0,0,0,0,0,0,1
155,25,0,0.926672436659358,1,1,3.70668974663743,3.39233945289574,3.04224667902378,2.69787693003286,2.20545417387215,1.50291017257713,0.672654749158629,0,0,0,0,0,1
